Designator,Mid X,Mid Y,Layer,Rotation
LED5, 9.47,10.15,Top,  0,
LED6,11.00,10.15,Top,  0,
LED7,11.00,13.96,Top,180,
LED8, 9.47,13.96,Top,180,
LED9, 9.47,48.75,Top,  0,
LED10,11.00,48.75,Top,  0,
LED11,11.00,52.56,Top,180,
LED12, 9.47,52.56,Top,180,
LED13,118.35, 1.57,Top, 90,
LED14,118.35, 3.10,Top, 90,
LED15,114.54, 3.10,Top,270,
LED16,114.54, 1.57,Top,270,
LED17, 9.47,29.45,Top,  0,
LED18,11.00,29.45,Top,  0,
LED19,11.00,33.26,Top,180,
LED20, 9.47,33.26,Top,180,
LED21, 9.47,68.05,Top,  0,
LED22,11.00,68.05,Top,  0,
LED23,11.00,71.86,Top,180,
LED24, 9.47,71.86,Top,180,
LED25,118.35,78.77,Top, 90,
LED26,118.35,80.30,Top, 90,
LED27,114.54,80.30,Top,270,
LED28,114.54,78.77,Top,270,
LED29,28.77,10.15,Top,  0,
LED30,30.30,10.15,Top,  0,
LED31,30.30,13.96,Top,180,
LED32,28.77,13.96,Top,180,
LED33,118.35,20.87,Top, 90,
LED34,118.35,22.40,Top, 90,
LED35,114.54,22.40,Top,270,
LED36,114.54,20.87,Top,270,
LED37,28.77,29.45,Top,  0,
LED38,30.30,29.45,Top,  0,
LED39,30.30,33.26,Top,180,
LED40,28.77,33.26,Top,180,
LED45,28.77,48.75,Top,  0,
LED46,30.30,48.75,Top,  0,
LED47,30.30,52.56,Top,180,
LED48,28.77,52.56,Top,180,
LED49,118.35,40.17,Top, 90,
LED50,118.35,41.70,Top, 90,
LED51,114.54,41.70,Top,270,
LED52,114.54,40.17,Top,270,
LED53,28.77,68.05,Top,  0,
LED54,30.30,68.05,Top,  0,
LED55,30.30,71.86,Top,180,
LED56,28.77,71.86,Top,180,
LED61,48.07,10.15,Top,  0,
LED62,49.60,10.15,Top,  0,
LED63,49.60,13.96,Top,180,
LED64,48.07,13.96,Top,180,
LED65,118.35,59.47,Top, 90,
LED66,118.35,61.00,Top, 90,
LED67,114.54,61.00,Top,270,
LED68,114.54,59.47,Top,270,
LED69,48.07,29.45,Top,  0,
LED70,49.60,29.45,Top,  0,
LED71,49.60,33.26,Top,180,
LED72,48.07,33.26,Top,180,
LED77,48.07,48.75,Top,  0,
LED78,49.60,48.75,Top,  0,
LED79,49.60,52.56,Top,180,
LED80,48.07,52.56,Top,180,
LED85,48.07,68.05,Top,  0,
LED86,49.60,68.05,Top,  0,
LED87,49.60,71.86,Top,180,
LED88,48.07,71.86,Top,180,
LED93,67.37,10.15,Top,  0,
LED94,68.90,10.15,Top,  0,
LED95,68.90,13.96,Top,180,
LED96,67.37,13.96,Top,180,
LED101,67.37,29.45,Top,  0,
LED102,68.90,29.45,Top,  0,
LED103,68.90,33.26,Top,180,
LED104,67.37,33.26,Top,180,
LED109,67.37,48.75,Top,  0,
LED110,68.90,48.75,Top,  0,
LED111,68.90,52.56,Top,180,
LED112,67.37,52.56,Top,180,
LED117,67.37,68.05,Top,  0,
LED118,68.90,68.05,Top,  0,
LED119,68.90,71.86,Top,180,
LED120,67.37,71.86,Top,180,
LED125,86.67,10.15,Top,  0,
LED126,88.20,10.15,Top,  0,
LED127,88.20,13.96,Top,180,
LED128,86.67,13.96,Top,180,
LED133,86.67,29.45,Top,  0,
LED134,88.20,29.45,Top,  0,
LED135,88.20,33.26,Top,180,
LED136,86.67,33.26,Top,180,
LED141,86.67,48.75,Top,  0,
LED142,88.20,48.75,Top,  0,
LED143,88.20,52.56,Top,180,
LED144,86.67,52.56,Top,180,
LED149,86.67,68.05,Top,  0,
LED150,88.20,68.05,Top,  0,
LED151,88.20,71.86,Top,180,
LED152,86.67,71.86,Top,180,
LED157,105.97,10.15,Top,  0,
LED158,107.50,10.15,Top,  0,
LED159,107.50,13.96,Top,180,
LED160,105.97,13.96,Top,180,
LED165,105.97,29.45,Top,  0,
LED166,107.50,29.45,Top,  0,
LED167,107.50,33.26,Top,180,
LED168,105.97,33.26,Top,180,
LED173,105.97,48.75,Top,  0,
LED174,107.50,48.75,Top,  0,
LED175,107.50,52.56,Top,180,
LED176,105.97,52.56,Top,180,
LED181,105.97,68.05,Top,  0,
LED182,107.50,68.05,Top,  0,
LED183,107.50,71.86,Top,180,
LED184,105.97,71.86,Top,180,
LED189,125.27,10.15,Top,  0,
LED190,126.80,10.15,Top,  0,
LED191,126.80,13.96,Top,180,
LED192,125.27,13.96,Top,180,
LED197,125.27,29.45,Top,  0,
LED198,126.80,29.45,Top,  0,
LED199,126.80,33.26,Top,180,
LED200,125.27,33.26,Top,180,
LED205,125.27,48.75,Top,  0,
LED206,126.80,48.75,Top,  0,
LED207,126.80,52.56,Top,180,
LED208,125.27,52.56,Top,180,
LED213,125.27,68.05,Top,  0,
LED214,126.80,68.05,Top,  0,
LED215,126.80,71.86,Top,180,
LED216,125.27,71.86,Top,180,
LED221,21.85,78.77,Top, 90,
LED222,21.85,80.30,Top, 90,
LED223,18.04,80.30,Top,270,
LED224,18.04,78.77,Top,270,
LED229,21.85,59.47,Top, 90,
LED230,21.85,61.00,Top, 90,
LED231,18.04,61.00,Top,270,
LED232,18.04,59.47,Top,270,
LED237,21.85,40.17,Top, 90,
LED238,21.85,41.70,Top, 90,
LED239,18.04,41.70,Top,270,
LED240,18.04,40.17,Top,270,
LED245,21.85,20.87,Top, 90,
LED246,21.85,22.40,Top, 90,
LED247,18.04,22.40,Top,270,
LED248,18.04,20.87,Top,270,
LED253,21.85, 1.57,Top, 90,
LED254,21.85, 3.10,Top, 90,
LED255,18.04, 3.10,Top,270,
LED256,18.04, 1.57,Top,270,
LED261,41.15, 1.57,Top, 90,
LED262,41.15, 3.10,Top, 90,
LED263,37.34, 3.10,Top,270,
LED264,37.34, 1.57,Top,270,
LED269,41.15,20.87,Top, 90,
LED270,41.15,22.40,Top, 90,
LED271,37.34,22.40,Top,270,
LED272,37.34,20.87,Top,270,
LED277,41.15,40.17,Top, 90,
LED278,41.15,41.70,Top, 90,
LED279,37.34,41.70,Top,270,
LED280,37.34,40.17,Top,270,
LED285,41.15,59.47,Top, 90,
LED286,41.15,61.00,Top, 90,
LED287,37.34,61.00,Top,270,
LED288,37.34,59.47,Top,270,
LED293,41.15,78.77,Top, 90,
LED294,41.15,80.30,Top, 90,
LED295,37.34,80.30,Top,270,
LED296,37.34,78.77,Top,270,
LED301,60.45, 1.57,Top, 90,
LED302,60.45, 3.10,Top, 90,
LED303,56.64, 3.10,Top,270,
LED304,56.64, 1.57,Top,270,
LED309,60.45,20.87,Top, 90,
LED310,60.45,22.40,Top, 90,
LED311,56.64,22.40,Top,270,
LED312,56.64,20.87,Top,270,
LED317,60.45,40.17,Top, 90,
LED318,60.45,41.70,Top, 90,
LED319,56.64,41.70,Top,270,
LED320,56.64,40.17,Top,270,
LED325,60.45,59.47,Top, 90,
LED326,60.45,61.00,Top, 90,
LED327,56.64,61.00,Top,270,
LED328,56.64,59.47,Top,270,
LED333,60.45,78.77,Top, 90,
LED334,60.45,80.30,Top, 90,
LED335,56.64,80.30,Top,270,
LED336,56.64,78.77,Top,270,
LED341,79.75, 1.57,Top, 90,
LED342,79.75, 3.10,Top, 90,
LED343,75.94, 3.10,Top,270,
LED344,75.94, 1.57,Top,270,
LED349,79.75,20.87,Top, 90,
LED350,79.75,22.40,Top, 90,
LED351,75.94,22.40,Top,270,
LED352,75.94,20.87,Top,270,
LED357,79.75,40.17,Top, 90,
LED358,79.75,41.70,Top, 90,
LED359,75.94,41.70,Top,270,
LED360,75.94,40.17,Top,270,
LED365,79.75,59.47,Top, 90,
LED366,79.75,61.00,Top, 90,
LED367,75.94,61.00,Top,270,
LED368,75.94,59.47,Top,270,
LED373,79.75,78.77,Top, 90,
LED374,79.75,80.30,Top, 90,
LED375,75.94,80.30,Top,270,
LED376,75.94,78.77,Top,270,
LED381,99.05, 1.57,Top, 90,
LED382,99.05, 3.10,Top, 90,
LED383,95.24, 3.10,Top,270,
LED384,95.24, 1.57,Top,270,
LED389,99.05,20.87,Top, 90,
LED390,99.05,22.40,Top, 90,
LED391,95.24,22.40,Top,270,
LED392,95.24,20.87,Top,270,
LED397,99.05,40.17,Top, 90,
LED398,99.05,41.70,Top, 90,
LED399,95.24,41.70,Top,270,
LED400,95.24,40.17,Top,270,
LED405,99.05,59.47,Top, 90,
LED406,99.05,61.00,Top, 90,
LED407,95.24,61.00,Top,270,
LED408,95.24,59.47,Top,270,
LED413,99.05,78.77,Top, 90,
LED414,99.05,80.30,Top, 90,
LED415,95.24,80.30,Top,270,
LED416,95.24,78.77,Top,270,
R5, 9.47, 6.59,Top, 90,
R6,11.00, 6.59,Top, 90,
R7,11.00,17.51,Top,270,
R8, 9.47,17.51,Top,270,
R9, 9.47,45.19,Top, 90,
R10,11.00,45.19,Top, 90,
R11,11.00,56.11,Top,270,
R12, 9.47,56.11,Top,270,
R13,121.91, 1.57,Top,180,
R14,121.91, 3.10,Top,180,
R15,110.99, 3.10,Top,  0,
R16,110.99, 1.57,Top,  0,
R17, 9.47,25.89,Top, 90,
R18,11.00,25.89,Top, 90,
R19,11.00,36.81,Top,270,
R20, 9.47,36.81,Top,270,
R21, 9.47,64.49,Top, 90,
R22,11.00,64.49,Top, 90,
R23,11.00,75.41,Top,270,
R24, 9.47,75.41,Top,270,
R25,121.91,78.77,Top,180,
R26,121.91,80.30,Top,180,
R27,110.99,80.30,Top,  0,
R28,110.99,78.77,Top,  0,
R29,28.77, 6.59,Top, 90,
R30,30.30, 6.59,Top, 90,
R31,30.30,17.51,Top,270,
R32,28.77,17.51,Top,270,
R33,121.91,20.87,Top,180,
R34,121.91,22.40,Top,180,
R35,110.99,22.40,Top,  0,
R36,110.99,20.87,Top,  0,
R37,28.77,25.89,Top, 90,
R38,30.30,25.89,Top, 90,
R39,30.30,36.81,Top,270,
R40,28.77,36.81,Top,270,
R45,28.77,45.19,Top, 90,
R46,30.30,45.19,Top, 90,
R47,30.30,56.11,Top,270,
R48,28.77,56.11,Top,270,
R49,121.91,40.17,Top,180,
R50,121.91,41.70,Top,180,
R51,110.99,41.70,Top,  0,
R52,110.99,40.17,Top,  0,
R53,28.77,64.49,Top, 90,
R54,30.30,64.49,Top, 90,
R55,30.30,75.41,Top,270,
R56,28.77,75.41,Top,270,
R61,48.07, 6.59,Top, 90,
R62,49.60, 6.59,Top, 90,
R63,49.60,17.51,Top,270,
R64,48.07,17.51,Top,270,
R65,121.91,59.47,Top,180,
R66,121.91,61.00,Top,180,
R67,110.99,61.00,Top,  0,
R68,110.99,59.47,Top,  0,
R69,48.07,25.89,Top, 90,
R70,49.60,25.89,Top, 90,
R71,49.60,36.81,Top,270,
R72,48.07,36.81,Top,270,
R77,48.07,45.19,Top, 90,
R78,49.60,45.19,Top, 90,
R79,49.60,56.11,Top,270,
R80,48.07,56.11,Top,270,
R85,48.07,64.49,Top, 90,
R86,49.60,64.49,Top, 90,
R87,49.60,75.41,Top,270,
R88,48.07,75.41,Top,270,
R93,67.37, 6.59,Top, 90,
R94,68.90, 6.59,Top, 90,
R95,68.90,17.51,Top,270,
R96,67.37,17.51,Top,270,
R101,67.37,25.89,Top, 90,
R102,68.90,25.89,Top, 90,
R103,68.90,36.81,Top,270,
R104,67.37,36.81,Top,270,
R109,67.37,45.19,Top, 90,
R110,68.90,45.19,Top, 90,
R111,68.90,56.11,Top,270,
R112,67.37,56.11,Top,270,
R117,67.37,64.49,Top, 90,
R118,68.90,64.49,Top, 90,
R119,68.90,75.41,Top,270,
R120,67.37,75.41,Top,270,
R125,86.67, 6.59,Top, 90,
R126,88.20, 6.59,Top, 90,
R127,88.20,17.51,Top,270,
R128,86.67,17.51,Top,270,
R133,86.67,25.89,Top, 90,
R134,88.20,25.89,Top, 90,
R135,88.20,36.81,Top,270,
R136,86.67,36.81,Top,270,
R141,86.67,45.19,Top, 90,
R142,88.20,45.19,Top, 90,
R143,88.20,56.11,Top,270,
R144,86.67,56.11,Top,270,
R149,86.67,64.49,Top, 90,
R150,88.20,64.49,Top, 90,
R151,88.20,75.41,Top,270,
R152,86.67,75.41,Top,270,
R157,105.97, 6.59,Top, 90,
R158,107.50, 6.59,Top, 90,
R159,107.50,17.51,Top,270,
R160,105.97,17.51,Top,270,
R165,105.97,25.89,Top, 90,
R166,107.50,25.89,Top, 90,
R167,107.50,36.81,Top,270,
R168,105.97,36.81,Top,270,
R173,105.97,45.19,Top, 90,
R174,107.50,45.19,Top, 90,
R175,107.50,56.11,Top,270,
R176,105.97,56.11,Top,270,
R181,105.97,64.49,Top, 90,
R182,107.50,64.49,Top, 90,
R183,107.50,75.41,Top,270,
R184,105.97,75.41,Top,270,
R189,125.27, 6.59,Top, 90,
R190,126.80, 6.59,Top, 90,
R191,126.80,17.51,Top,270,
R192,125.27,17.51,Top,270,
R197,125.27,25.89,Top, 90,
R198,126.80,25.89,Top, 90,
R199,126.80,36.81,Top,270,
R200,125.27,36.81,Top,270,
R205,125.27,45.19,Top, 90,
R206,126.80,45.19,Top, 90,
R207,126.80,56.11,Top,270,
R208,125.27,56.11,Top,270,
R213,125.27,64.49,Top, 90,
R214,126.80,64.49,Top, 90,
R215,126.80,75.41,Top,270,
R216,125.27,75.41,Top,270,
R221,25.41,78.77,Top,180,
R222,25.41,80.30,Top,180,
R223,14.49,80.30,Top,  0,
R224,14.49,78.77,Top,  0,
R229,25.41,59.47,Top,180,
R230,25.41,61.00,Top,180,
R231,14.49,61.00,Top,  0,
R232,14.49,59.47,Top,  0,
R237,25.41,40.17,Top,180,
R238,25.41,41.70,Top,180,
R239,14.49,41.70,Top,  0,
R240,14.49,40.17,Top,  0,
R245,25.41,20.87,Top,180,
R246,25.41,22.40,Top,180,
R247,14.49,22.40,Top,  0,
R248,14.49,20.87,Top,  0,
R253,25.41, 1.57,Top,180,
R254,25.41, 3.10,Top,180,
R255,14.49, 3.10,Top,  0,
R256,14.49, 1.57,Top,  0,
R261,44.71, 1.57,Top,180,
R262,44.71, 3.10,Top,180,
R263,33.79, 3.10,Top,  0,
R264,33.79, 1.57,Top,  0,
R269,44.71,20.87,Top,180,
R270,44.71,22.40,Top,180,
R271,33.79,22.40,Top,  0,
R272,33.79,20.87,Top,  0,
R277,44.71,40.17,Top,180,
R278,44.71,41.70,Top,180,
R279,33.79,41.70,Top,  0,
R280,33.79,40.17,Top,  0,
R285,44.71,59.47,Top,180,
R286,44.71,61.00,Top,180,
R287,33.79,61.00,Top,  0,
R288,33.79,59.47,Top,  0,
R293,44.71,78.77,Top,180,
R294,44.71,80.30,Top,180,
R295,33.79,80.30,Top,  0,
R296,33.79,78.77,Top,  0,
R301,64.01, 1.57,Top,180,
R302,64.01, 3.10,Top,180,
R303,53.09, 3.10,Top,  0,
R304,53.09, 1.57,Top,  0,
R309,64.01,20.87,Top,180,
R310,64.01,22.40,Top,180,
R311,53.09,22.40,Top,  0,
R312,53.09,20.87,Top,  0,
R317,64.01,40.17,Top,180,
R318,64.01,41.70,Top,180,
R319,53.09,41.70,Top,  0,
R320,53.09,40.17,Top,  0,
R325,64.01,59.47,Top,180,
R326,64.01,61.00,Top,180,
R327,53.09,61.00,Top,  0,
R328,53.09,59.47,Top,  0,
R333,64.01,78.77,Top,180,
R334,64.01,80.30,Top,180,
R335,53.09,80.30,Top,  0,
R336,53.09,78.77,Top,  0,
R341,83.31, 1.57,Top,180,
R342,83.31, 3.10,Top,180,
R343,72.39, 3.10,Top,  0,
R344,72.39, 1.57,Top,  0,
R349,83.31,20.87,Top,180,
R350,83.31,22.40,Top,180,
R351,72.39,22.40,Top,  0,
R352,72.39,20.87,Top,  0,
R357,83.31,40.17,Top,180,
R358,83.31,41.70,Top,180,
R359,72.39,41.70,Top,  0,
R360,72.39,40.17,Top,  0,
R365,83.31,59.47,Top,180,
R366,83.31,61.00,Top,180,
R367,72.39,61.00,Top,  0,
R368,72.39,59.47,Top,  0,
R373,83.31,78.77,Top,180,
R374,83.31,80.30,Top,180,
R375,72.39,80.30,Top,  0,
R376,72.39,78.77,Top,  0,
R381,102.61, 1.57,Top,180,
R382,102.61, 3.10,Top,180,
R383,91.69, 3.10,Top,  0,
R384,91.69, 1.57,Top,  0,
R389,102.61,20.87,Top,180,
R390,102.61,22.40,Top,180,
R391,91.69,22.40,Top,  0,
R392,91.69,20.87,Top,  0,
R397,102.61,40.17,Top,180,
R398,102.61,41.70,Top,180,
R399,91.69,41.70,Top,  0,
R400,91.69,40.17,Top,  0,
R405,102.61,59.47,Top,180,
R406,102.61,61.00,Top,180,
R407,91.69,61.00,Top,  0,
R408,91.69,59.47,Top,  0,
R413,102.61,78.77,Top,180,
R414,102.61,80.30,Top,180,
R415,91.69,80.30,Top,  0,
R416,91.69,78.77,Top,  0,
