Comment,Designator,Footprint,LCSC Part #(optional)
 0.1uF,C1,     C0603,C14663
 47 uF,C2,     C1210,C77101
 0.1uF,C3,     C0603,C14663
 47 uF,C4,     C1210,C77101
 47 uF,C5,     C1210,C77101
 47 uF,C7,     C1210,C77101
 1N4148,D1,    LL-34,C81598
 1N4148,D2,    LL-34,C81598
 1N4148,D3,    LL-34,C81598
 1N4148,D4,    LL-34,C81598
 1N4148,D5,    LL-34,C81598
 600mA/40V,Q1, SOT23-3,C400799
 600mA/40V,Q2, SOT23-3,C400799
 600mA/40V,Q3, SOT23-3,C400799
 600mA/40V,Q4, SOT23-3,C400799
 600mA/40V,Q5, SOT23-3,C400799
 1k,R1,, C21190
 1k,R2,, C21190
 1k,R3,, C21190
 1k,R4,, C21190
 1k,R5,, C21190
 10k,R6,,C25804
 2.727k,R7,    R0603,C13167
 2.727k,R8,    R0603,C13167
 1k,R9,, C21190
10k,R10,,C25804
1k,R11,, C21190
