Designator,Mid X,Mid Y,Layer,Rotation
C1,39.62,15.70,Top,  0,
C2,15.00,30.60,Top, 90,
C3,32.40,15.83,Top,  0,
C4,-4.70,51.00,Top,  0,
C5,-4.70,41.70,Top,  0,
C7,-3.60,27.50,Top,180,
D1,34.60,41.90,Top, 90,
D2,26.69,41.90,Top, 90,
D3,42.50,41.90,Top, 90,
D4,49.40,41.90,Top, 90,
D5,56.00,41.90,Top, 90,
Q1,23.21,41.90,Top,180,
Q2,31.00,41.90,Top,180,
Q3,39.30,41.90,Top,180,
Q4,46.30,41.90,Top,180,
Q5,53.10,41.90,Top,180,
R1,23.21,45.05,Top,  0,
R2,31.20,45.05,Top,  0,
R3,39.40,45.05,Top,  0,
R4,46.30,45.05,Top,  0,
R5,36.39,13.26,Top,  0,
R6,39.62,13.26,Top,  0,
R7,15.00,24.00,Top,270,
R8,-23.50,42.20,Top,270,
R9,29.10,13.29,Top,  0,
R10,32.40,13.29,Top,  0,
R11,53.10,45.05,Top,  0,
SJ1,-23.50,49.10,Top, 90,
SJ2,-3.40,23.10,Top,180,
U$1, 6.00,27.30,Top,  0,
U$2,-14.81,46.30,Top,270,
U$10,-4.60,47.60,Top,180,
U$11,-3.58,31.65,Top,  0,
