Designator,Mid X,Mid Y,Layer,Rotation
C1,54.48,27.81,Top,0
C2,28.84,38.13,Top,270
C3,58.29,27.81,Top,0
C4,46.46,24.04,Top,270
C5,28.68,24.13,Top,270
C6,28.7,30.48,Top,0
C7,46.49,38.17,Top,270
C8,28.96,44.45,Top,0
C9,46.48,9.53,Top,270
C10,28.83,9.53,Top,270
C11,28.83,15.75,Top,0
D1,-16.26,45.97,Top,90
D2,5.33,45.97,Top,90
D3,-26.42,45.97,Top,90
D4,-37.85,45.97,Top,90
D5,-6.1,45.97,Top,90
D6,16.76,45.97,Top,90
Q1,9.14,46.02,Top,0
Q2,-12.45,46.02,Top,0
Q3,-22.61,46.02,Top,0
Q4,-34.04,46.02,Top,0
Q5,-2.29,46.02,Top,0
Q6,20.57,46.02,Top,0
R1,9.14,42.16,Top,180
R2,-12.45,42.16,Top,180
R3,-22.61,42.16,Top,180
R4,-34.04,42.16,Top,180
R5,54.48,23.75,Top,180
R6,54.48,25.78,Top,0
R7,28.96,46.99,Top,0
R8,28.7,33.02,Top,0
R9,58.29,23.75,Top,180
R10,58.29,25.78,Top,0
R11,-2.29,42.16,Top,180
R12,28.67,28.03,Top,0
R13,28.96,42.16,Top,0
R14,20.57,42.16,Top,180
R15,28.83,18.29,Top,0
R16,28.83,13.46,Top,0
TP1,26.16,10.92,Top,0
TP2,25.91,27.69,Top,0
TP3,26.16,39.62,Top,0
TP4,52.07,29.46,Top,0
U$1,37.74,41.74,Top,180
U$2,37.51,27.75,Top,180
U$4,37.46,13.08,Top,180
U$10,46.43,31.09,Top,270
U$11,46.44,44.66,Top,270
U$17,46.48,16.76,Top,270
