"Part";"Value";"Device";"Package";"Description";"SPICEPREFIX";
"C1";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C2";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C3";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C4";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C5";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C6";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C7";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C8";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C9";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C10";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C11";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C12";"";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C";
"C13";"";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";
"C14";"";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";
"C15";"";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";
"C16";"";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";
"LED2";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"R2";"";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";
"U$1";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$2";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$3";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$4";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$5";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$6";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$7";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$8";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$9";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$10";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$11";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$12";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PWR";"RASPI_GPIO_B+_PIN";"";"";
"U$13";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";
"U$14";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";
"U$15";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";
"U$16";"MOLEX_0039301022";"MOLEX_0039301022";"MINI-FIT_JR_CONN";"";"";
